TOO	U	2003-01-31	Change name TOTONACA, XICOTEPEC DE JUA#REZ to TOTONAC, XICOTEPEC DE JUAREZ		
TOP	U	2003-01-31	Change name TOTONACA, PAPANTLA to TOTONAC, PAPANTLA		
TOS	U	2003-01-31	Change name TOTONACA, SIERRA to TOTONAC, SIERRA		
TOT	U	2003-01-31	Change name TOTONACA, PATLA-CHICONTLA to TOTONAC, PATLA AND CHICONTLA		
TPC	U	2003-01-31	Change name TLAPANECO, AZOYU to TLAPANEC, AZOYU		
TPL	U	2003-01-31	Change name TLAPANECO, TLACOAPA to TLAPANEC, TLACOAPA		
TPX	U	2003-01-31	Change name TLAPANECO, ACATEPEC to TLAPANEC, ACATEPEC		
TQT	U	2003-01-31	Change name TOTONACA, OZUMATLAN to TOTONAC, OZUMATLAN		
TSX	U	2003-01-31	Change name TAO-SUAMATO to MUBAMI		
TTC	U	2003-01-31	Change name TECTITECO to TEKTITEKO		
TUA	U	2003-01-31	Change name MANDI to WIARUMUS		
TWR	U	2003-01-31	Change name TARAHUMARA SUROESTE to TARAHUMARA, SOUTHWESTERN		
TXE	U	2003-01-31	Change name TOLITOLI to TOTOLI		
TZS	U	2003-01-31	Change name TZOTZIL, SAN ANDRES LARRAINZAR to TZOTZIL, SAN ANDRES		
VMC	U	2003-01-31	Change name MIXTECO, JUXTLAHUACA to MIXTEC, JUXTLAHUACA		
VMJ	U	2003-01-31	Change name MIXTECO, IXTAYUTLA to MIXTEC, IXTAYUTLA 		
VMM	U	2003-01-31	Change name MIXTECO, MITLATONGO to MIXTEC, MITLATONGO		
VMP	U	2003-01-31	Change name MAZATECO, SOYALTEPEC to MAZATEC, SOYALTEPEC		
VMQ	U	2003-01-31	Change name MIXTECO, SOYALTEPEC to MIXTEC, SOYALTEPEC		
VMX	U	2003-01-31	Change name MIXTECO, TAMAZOLA to MIXTEC, TAMAZOLA		
VMY	U	2003-01-31	Change name MAZATECO, AYAUTLA to MAZATEC, AYAUTLA		
VMZ	U	2003-01-31	Change name MAZATECO, MAZATLAN to MAZATEC, MAZATLAN		
WBM	U	2003-01-31	Change name VO to WA		
WIN	U	2003-01-31	Change name HOCAK to HO-CHUNK		
XKB	U	2003-01-31	Change name EDE MANIGRI-KAMBOLE to EDE NAGO, MANIGRI-KAMBOLE		
YAE	U	2003-01-31	Change name YARURO to PUME		
YIR	U	2003-01-31	Change name JAIR to AWYU, NORTH		
